time,eth_close,btc_close,0,1
1626664500000.0,1884.5,31536.0,,
1626665400000.0,1893.2,31613.0,,
1626666300000.0,1885.3,31545.0,,
1626667200000.0,1884.3,31557.0,,
1626668100000.0,1888.9,31675.0,,
1626669000000.0,1890.7,31678.0,,
1626669900000.0,1898.1,31745.0,,
1626670800000.0,1894.3,31728.0,,
1626671700000.0,1892.6,31679.0,,
1626672600000.0,1895.3,31705.0,,
1626673500000.0,1908.2,31802.0,,
1626674400000.0,1901.5,31783.0,,
1626675300000.0,1901.1,31756.0,,
1626676200000.0,1904.9,31800.0,,
1626677100000.0,1905.6,31806.0,,
1626678000000.0,1908.3,31788.0,,
1626678900000.0,1902.8,31707.0,,
1626679800000.0,1896.0,31643.0,,
1626680700000.0,1891.1,31607.0,,
1626681600000.0,1895.5,31649.0,,
1626682500000.0,1897.5,31630.0,,
1626683400000.0,1890.8,31559.0,,
1626684300000.0,1875.7,31483.0,,
1626685200000.0,1875.0,31403.0,,
1626686100000.0,1880.5,31460.0,,
1626687000000.0,1878.7,31405.0,,
1626687900000.0,1870.6,31380.0,,
1626688800000.0,1873.1,31370.0,,
1626689700000.0,1868.3,31307.0,,
1626690600000.0,1864.8,31277.0,,
1626691500000.0,1857.6,31194.0,,
1626692400000.0,1871.6,31428.0,,
1626693300000.0,1866.8,31322.0,,
1626694200000.0,1867.3,31305.0,,
1626695100000.0,1861.6,31267.0,,
1626696000000.0,1861.9,31277.0,,
1626696900000.0,1852.9,31222.0,,
1626697800000.0,1817.8,30818.0,,
1626698700000.0,1813.9,30697.0,,
1626699600000.0,1821.5,30762.0,,
1626700500000.0,1815.7,30727.0,,
1626701400000.0,1814.2,30671.0,,
1626702300000.0,1808.5,30613.0,,
1626703200000.0,1810.1,30585.0,,
1626704100000.0,1815.9,30595.0,,
1626705000000.0,1821.8,30720.0,,
1626705900000.0,1821.2,30807.0,,
1626706800000.0,1829.3,30917.0,,
1626707700000.0,1819.3,30786.0,,
1626708600000.0,1820.5,30787.0,,
1626709500000.0,1819.2,30679.0,,
1626710400000.0,1816.8,30672.0,,
1626711300000.0,1818.3,30686.0,,
1626712200000.0,1817.3,30686.0,,
1626713100000.0,1818.4,30705.0,,
1626714000000.0,1821.5,30721.0,,
1626714900000.0,1827.6,30780.0,,
1626715800000.0,1827.5,30791.0,,
1626716700000.0,1823.2,30731.0,,
1626717600000.0,1828.3,30772.0,,
1626718500000.0,1826.0,30722.0,,
1626719400000.0,1823.3,30719.0,,
1626720300000.0,1817.9,30651.0,,
1626721200000.0,1815.5,30649.0,,
1626722100000.0,1817.5,30680.0,,
1626723000000.0,1821.6,30689.0,,
1626723900000.0,1824.8,30754.0,,
1626724800000.0,1823.8,30737.0,,
1626725700000.0,1817.6,30697.0,,
1626726600000.0,1822.4,30793.0,,
1626727500000.0,1819.5,30773.0,,
1626728400000.0,1820.9,30817.0,,
1626729300000.0,1824.0,30825.0,,
1626730200000.0,1820.3,30798.0,,
1626731100000.0,1812.0,30733.0,,
1626732000000.0,1820.7,30832.0,,
1626732900000.0,1823.4,30869.0,,
1626733800000.0,1825.5,30922.0,,
1626734700000.0,1821.1,30864.0,,
1626735600000.0,1822.4,30848.0,,
1626736500000.0,1821.3,30889.0,,
1626737400000.0,1828.1,30956.0,,
1626738300000.0,1818.6,30845.0,,
1626739200000.0,1825.8,30905.0,,
1626740100000.0,1825.3,30907.0,,
1626741000000.0,1826.8,30907.0,,
1626741900000.0,1816.2,30808.0,,
1626742800000.0,1783.0,30582.0,,
1626743700000.0,1784.7,30622.0,,
1626744600000.0,1787.9,30649.0,,
1626745500000.0,1783.5,30621.0,,
1626746400000.0,1783.4,30575.0,,
1626747300000.0,1763.1,30320.0,,
1626748200000.0,1753.7,30254.0,,
1626749100000.0,1750.7,30178.0,,
1626750000000.0,1748.9,30127.0,,
1626750900000.0,1728.8,29637.0,,
1626751800000.0,1728.2,29606.0,,
1626752700000.0,1728.9,29609.0,,
1626753600000.0,1726.7,29578.0,,
1626754500000.0,1727.1,29554.0,,
1626755400000.0,1742.9,29787.0,,
1626756300000.0,1740.2,29674.0,,
1626757200000.0,1742.8,29727.0,,
1626758100000.0,1747.1,29719.0,,
1626759000000.0,1747.7,29693.0,,
1626759900000.0,1752.6,29727.0,,
1626760800000.0,1748.4,29687.0,,
1626761700000.0,1750.4,29669.0,,
1626762600000.0,1751.7,29681.0,,
1626763500000.0,1757.5,29723.0,,
1626764400000.0,1764.9,29839.0,,
1626765300000.0,1760.1,29748.0,,
1626766200000.0,1762.3,29789.0,,
1626767100000.0,1761.7,29826.0,,
1626768000000.0,1755.7,29837.0,,
1626768900000.0,1755.4,29828.0,,
1626769800000.0,1741.5,29675.0,,
1626770700000.0,1737.1,29634.0,,
1626771600000.0,1742.1,29710.0,,
1626772500000.0,1739.8,29686.0,,
1626773400000.0,1730.8,29602.0,,
1626774300000.0,1728.4,29420.0,,
1626775200000.0,1733.9,29454.0,,
1626776100000.0,1749.4,29661.0,,
1626777000000.0,1750.8,29674.0,,
1626777900000.0,1755.9,29690.0,,
1626778800000.0,1750.3,29602.0,,
1626779700000.0,1744.9,29576.0,,
1626780600000.0,1754.6,29686.0,,
1626781500000.0,1756.2,29699.0,,
1626782400000.0,1755.9,29724.0,,
1626783300000.0,1748.5,29631.0,,
1626784200000.0,1756.5,29735.0,,
1626785100000.0,1757.4,29718.0,,
1626786000000.0,1753.1,29733.0,,
1626786900000.0,1741.8,29588.0,,
1626787800000.0,1738.2,29484.0,,
1626788700000.0,1744.2,29537.0,,
1626789600000.0,1758.2,29632.0,,
1626790500000.0,1761.0,29685.0,,
1626791400000.0,1756.5,29654.0,,
1626792300000.0,1767.7,29751.0,,
1626793200000.0,1774.4,29779.0,,
1626794100000.0,1811.5,29925.0,,
1626795000000.0,1800.0,29841.0,,
1626795900000.0,1806.5,29902.0,,
1626796800000.0,1794.6,29777.0,,
1626797700000.0,1795.7,29811.0,,
1626798600000.0,1791.4,29795.0,,
1626799500000.0,1779.5,29663.0,,
1626800400000.0,1778.4,29638.0,,
1626801300000.0,1785.1,29698.0,,
1626802200000.0,1782.0,29681.0,,
1626803100000.0,1783.3,29667.0,,
1626804000000.0,1787.5,29736.0,,
1626804900000.0,1790.6,29762.0,,
1626805800000.0,1791.7,29789.0,,
1626806700000.0,1794.4,29787.0,,
1626807600000.0,1795.3,29799.0,,
1626808500000.0,1798.3,29878.0,,
1626809400000.0,1794.0,29821.0,,
1626810300000.0,1789.8,29788.0,,
1626811200000.0,1797.2,29915.0,,
1626812100000.0,1801.3,29939.0,,
1626813000000.0,1797.8,29910.0,,
1626813900000.0,1794.8,29865.0,,
1626814800000.0,1785.4,29750.0,,
1626815700000.0,1781.8,29655.0,,
1626816600000.0,1784.8,29678.0,,
1626817500000.0,1785.8,29695.0,,
1626818400000.0,1781.2,29642.0,,
1626819300000.0,1781.5,29657.0,,
1626820200000.0,1773.4,29573.0,,
1626821100000.0,1770.5,29557.0,,
1626822000000.0,1778.2,29623.0,,
1626822900000.0,1784.6,29673.0,,
1626823800000.0,1787.1,29818.0,,
1626824700000.0,1786.3,29791.0,,
1626825600000.0,1790.9,29835.0,,
1626826500000.0,1782.3,29699.0,,
1626827400000.0,1775.0,29617.0,,
1626828300000.0,1769.0,29594.0,,
1626829200000.0,1767.6,29580.0,,
1626830100000.0,1768.6,29666.0,,
1626831000000.0,1773.8,29720.0,,
1626831900000.0,1773.3,29754.0,,
1626832800000.0,1785.3,29810.0,,
1626833700000.0,1781.9,29761.0,,
1626834600000.0,1795.6,29855.0,,
1626835500000.0,1795.0,29831.0,,
1626836400000.0,1794.7,29816.0,,
1626837300000.0,1796.9,29844.0,,
1626838200000.0,1800.7,29873.0,,
1626839100000.0,1801.9,29850.0,,
1626840000000.0,1820.7,29987.0,,
1626840900000.0,1854.3,30675.0,,
1626841800000.0,1857.8,30633.0,,
1626842700000.0,1863.2,30695.0,,
1626843600000.0,1854.4,30584.0,,
1626844500000.0,1865.1,30702.0,,
1626845400000.0,1860.9,30723.0,,
1626846300000.0,1856.7,30695.0,,
1626847200000.0,1865.2,30788.0,,
1626848100000.0,1869.8,30822.0,,
1626849000000.0,1870.1,30797.0,,
1626849900000.0,1878.3,30901.0,,
1626850800000.0,1872.3,30881.0,,
1626851700000.0,1872.6,30868.0,,
1626852600000.0,1863.4,30772.0,,
1626853500000.0,1876.5,30826.0,,
1626854400000.0,1866.2,30769.0,,
1626855300000.0,1867.1,30793.0,,
1626856200000.0,1871.9,30856.0,,
1626857100000.0,1871.8,30840.0,,
1626858000000.0,1868.7,30815.0,,
1626858900000.0,1867.8,30813.0,,
1626859800000.0,1873.8,30851.0,,
1626860700000.0,1892.4,31314.0,,
1626861600000.0,1905.2,31509.0,,
1626862500000.0,1898.2,31442.0,,
1626863400000.0,1897.0,31373.0,,
1626864300000.0,1901.5,31392.0,,
1626865200000.0,1901.3,31511.0,,
1626866100000.0,1901.3,31453.0,,
1626867000000.0,1905.2,31491.0,,
1626867900000.0,1906.5,31550.0,,
1626868800000.0,1916.6,31627.0,,
1626869700000.0,1916.3,31585.0,,
1626870600000.0,1905.8,31501.0,,
1626871500000.0,1899.8,31445.0,,
1626872400000.0,1895.8,31461.0,,
1626873300000.0,1900.8,31500.0,,
1626874200000.0,1907.7,31553.0,,
1626875100000.0,1903.5,31500.0,,
1626876000000.0,1920.7,31704.0,,
1626876900000.0,1922.6,31646.0,,
1626877800000.0,1925.8,31800.0,,
1626878700000.0,1934.4,31841.0,,
1626879600000.0,1939.4,31830.0,,
1626880500000.0,1949.6,31878.0,,
1626881400000.0,1942.8,31835.0,,
1626882300000.0,1956.0,31957.0,,
1626883200000.0,1971.1,31989.0,,
1626884100000.0,1977.8,32055.0,,
1626885000000.0,1995.9,32298.0,,
1626885900000.0,1980.1,32112.0,,
1626886800000.0,1969.6,32037.0,,
1626887700000.0,1964.7,32002.0,,
1626888600000.0,1968.8,32126.0,,
1626889500000.0,1973.2,32188.0,,
1626890400000.0,2020.6,32721.0,,
1626891300000.0,2000.3,32167.0,,
1626892200000.0,1990.3,32060.0,,
1626893100000.0,1957.4,31786.0,,
1626894000000.0,1949.4,31720.0,,
1626894900000.0,1946.9,31687.0,,
1626895800000.0,1952.7,31735.0,,
1626896700000.0,1938.0,31624.0,,
1626897600000.0,1935.4,31611.0,,
1626898500000.0,1937.7,31600.0,,
1626899400000.0,1939.6,31632.0,,
1626900300000.0,1946.5,31809.0,,
1626901200000.0,1944.6,31730.0,,
1626902100000.0,1947.0,31754.0,,
1626903000000.0,1954.8,31879.0,,
1626903900000.0,1950.7,31837.0,,
1626904800000.0,1961.4,31896.0,,
1626905700000.0,1971.2,32106.0,,
1626906600000.0,1970.5,32040.0,,
1626907500000.0,1983.2,32110.0,,
1626908400000.0,1980.1,32047.0,,
1626909300000.0,1975.2,32055.0,,
1626910200000.0,1986.9,32173.0,,
1626911100000.0,1996.2,32131.0,,
1626912000000.0,2010.1,32196.0,,
1626912900000.0,2018.2,32325.0,,
1626913800000.0,2009.3,32261.0,,
1626914700000.0,1989.6,32072.0,,
1626915600000.0,1985.7,32025.0,,
1626916500000.0,1989.8,32069.0,,
1626917400000.0,1985.1,32006.0,,
1626918300000.0,1981.0,31980.0,,
1626919200000.0,1974.2,31889.0,,
1626920100000.0,1976.6,31956.0,,
1626921000000.0,1969.1,31873.0,,
1626921900000.0,1963.4,31858.0,,
1626922800000.0,1985.7,32089.0,,
1626923700000.0,1971.4,31947.0,,
1626924600000.0,1970.2,31901.0,,
1626925500000.0,1976.6,31934.0,,
1626926400000.0,1985.0,32030.0,,
1626927300000.0,2002.4,32203.0,,
1626928200000.0,1988.7,32080.0,,
1626929100000.0,1990.0,32059.0,,
1626930000000.0,1981.5,31984.0,,
1626930900000.0,1981.9,31988.0,,
1626931800000.0,1974.9,31942.0,,
1626932700000.0,1968.4,31899.0,,
1626933600000.0,1982.2,32052.0,,
1626934500000.0,1979.3,32025.0,,
1626935400000.0,1981.9,32032.0,,
1626936300000.0,1986.0,32035.0,,
1626937200000.0,2006.0,32257.0,,
1626938100000.0,2009.5,32255.0,,
1626939000000.0,2004.1,32171.0,,
1626939900000.0,1992.7,32142.0,,
1626940800000.0,1997.2,32147.0,,
1626941700000.0,2018.0,32258.0,,
1626942600000.0,2012.9,32190.0,,
1626943500000.0,2008.6,32123.0,,
1626944400000.0,2001.9,32087.0,,
